"; refersTo","name","text","type","choices","multiple","minValue","maxValue","help","useHelp"
"member","Age","How old are you?","ordinal","20 or younger, 21-40, 41-60, 61 or over, I'd rather not say",,,,"Please choose an age range.","Connecting which stories are told by people of what ages can be a useful way to look at stories."
"member","Gender","What is your gender?","nominal","male, female, I'd rather not say",,,,"Enter any sort of location you like, specific or vague.","This question is most useful when your community is geographic."
"member","How feel about community","How do you feel about this community?","nominal","it's great!, it's okay, I don't understand it, I don't have time for it, pretty silly if you ask me, I don't like it, I'd rather not say","yes",,,"Describe how you feel about this place.","Connecting which stories are told by people of what ages can be a useful way to look at stories."
"member","Why joined","Why did you join this community?","nominal","somebody asked me to, I wanted to, I started it, I heard about it, I'd rather not say","yes",,,,
"story","How feel about","How do you feel about this story?","ordinal","great, good, okay, not so great, bad, awful, I'd rather not say","yes",,,"What was your reaction when you read the story?","This is a very useful question and should almost always be included."
"story","When happened","When did this story happen?","ordinal","today, within the past month, within a few months, within the last year, within the last two years, within the last five years, I'm not sure, I'd rather not say",,,,,
"story","Intensity","How emotionally intense would you say this story is?","ordinal","extremely, very, moderately, not much, not at all, I'd rather not say",,,,,
"story","Reason","Why do you think this story was told?","nominal","to inform, to persuade, to attack, to defend, to entertain, to educate, to reminisce, to help, I'd rather not say","yes",,,,
"pattern","Observations","What pattern do you see?","text",,,,,"Please describe what is noteworthy, confining yourself to facts that anyone could agree on.",
"pattern","Interpretations","What do you think this pattern means?","text",,,,,"Venture an opinion on why the pattern appears the way it does.",
"pattern","Implications","What do you think should be done about this pattern?","text",,,,,"If this pattern represents a problem, what can be done about it? If it represents and opportunity, what can be done to benefit from it?",
"collage","Why built","Why was this collage built?t","text",,,,,"Give viewers some idea of the collage's purpose.",
"collage","Useful to whom","To whom do you think this collage will be useful?","text",,,,,"Which of these types of collage best describes this one?",
"invitation","Why asked","Why was this invitation created?","text",,,,,"Please describe why you think this invitation's creator (yourself or someone else) asked people talk about this.",
"invitation","Reference","Is this invitation in reference to an event, person, thing, what?","text",,,,,"Is there anything this invitation asks about in particular?",
"resource","Why added","Why was this resource added to the community? What is its value?","text",,,,,"Give your opinion about the reasons behind this resource being added.",
"resource","Source","Where did this resource come from?","text",,,,,"List the resource's source.",
"; NOTE: it's a good idea ","to use the same questions ","for members and characters (even if you add more for characters) ","because"," then people can search on both.",,,,,
"character","Age","How old are you?","ordinal","20 or younger, 21-40, 41-60, 61 or over, I'd rather not say",,,,"Please choose an age range.","Connecting which stories are told by people of what ages can be a useful way to look at stories."
"character","Gender","What is your gender?","nominal","male, female, I'd rather not say",,,,"Enter any sort of location you like, specific or vague.","This question is most useful when your community is geographic."
"character","How feel about community","How do you feel about this community?","nominal","it's great!, it's okay, I don't understand it, I don't have time for it, pretty silly if you ask me, I don't like it, I'd rather not say","yes",,,"Describe how you feel about this place.","Connecting which stories are told by people of what ages can be a useful way to look at stories."
"character","Why joined","Why did you join this community?","nominal","somebody asked me to, I wanted to, I started it, I heard about it, I'd rather not say","yes",,,,
